Tiempo (seg), Entrada 25 (%), Temperatura 1 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,2.710999999999999943e+01
1.001974344253540039e+00,0.000000000000000000e+00,2.717999999999999972e+01
2.008599519729614258e+00,0.000000000000000000e+00,2.723000000000000043e+01
3.010129928588867188e+00,0.000000000000000000e+00,2.732999999999999829e+01
4.014404058456420898e+00,0.000000000000000000e+00,2.728000000000000114e+01
5.020138978958129883e+00,0.000000000000000000e+00,2.742999999999999972e+01
6.012136697769165039e+00,0.000000000000000000e+00,2.732999999999999829e+01
7.017538547515869141e+00,0.000000000000000000e+00,2.744999999999999929e+01
8.008086204528808594e+00,0.000000000000000000e+00,2.723000000000000043e+01
9.002323627471923828e+00,0.000000000000000000e+00,2.737999999999999901e+01
9.995456933975219727e+00,0.000000000000000000e+00,2.730000000000000071e+01
1.098660254478454590e+01,0.000000000000000000e+00,2.742999999999999972e+01
1.198618912696838379e+01,0.000000000000000000e+00,2.742999999999999972e+01
1.298815560340881348e+01,0.000000000000000000e+00,2.737999999999999901e+01
1.399264955520629883e+01,0.000000000000000000e+00,2.742999999999999972e+01
1.499551177024841309e+01,0.000000000000000000e+00,2.744999999999999929e+01
1.599390673637390137e+01,0.000000000000000000e+00,2.748000000000000043e+01
1.699378275871276855e+01,0.000000000000000000e+00,2.751999999999999957e+01
1.799641466140747070e+01,0.000000000000000000e+00,2.757000000000000028e+01
1.898655104637145996e+01,0.000000000000000000e+00,2.742999999999999972e+01
1.998565435409545898e+01,0.000000000000000000e+00,2.748000000000000043e+01
2.098047614097595215e+01,0.000000000000000000e+00,2.751999999999999957e+01
2.197405505180358887e+01,0.000000000000000000e+00,2.744999999999999929e+01
2.297682428359985352e+01,0.000000000000000000e+00,2.755000000000000071e+01
2.397581601142883301e+01,0.000000000000000000e+00,2.751999999999999957e+01
2.496740555763244629e+01,0.000000000000000000e+00,2.750000000000000000e+01
2.595809459686279297e+01,0.000000000000000000e+00,2.750000000000000000e+01
