Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01
1.003409862518310547e+00,0.000000000000000000e+00,3.041000000000000014e+01
3.112476110458374023e+00,0.000000000000000000e+00,3.048000000000000043e+01
4.115883111953735352e+00,0.000000000000000000e+00,3.044999999999999929e+01
5.118207931518554688e+00,0.000000000000000000e+00,3.037999999999999901e+01
6.121439933776855469e+00,0.000000000000000000e+00,3.050000000000000000e+01
7.123835086822509766e+00,0.000000000000000000e+00,3.044999999999999929e+01
8.308126449584960938e+00,0.000000000000000000e+00,3.053000000000000114e+01
9.300398111343383789e+00,0.000000000000000000e+00,3.042999999999999972e+01
1.030428314208984375e+01,0.000000000000000000e+00,3.050000000000000000e+01
1.129657793045043945e+01,0.000000000000000000e+00,3.014000000000000057e+01
1.229456090927124023e+01,0.000000000000000000e+00,3.050000000000000000e+01
1.329372429847717285e+01,0.000000000000000000e+00,3.035999999999999943e+01
1.429772067070007324e+01,0.000000000000000000e+00,3.032999999999999829e+01
1.529342961311340332e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.628940653800964355e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.728021907806396484e+01,0.000000000000000000e+00,3.042999999999999972e+01
1.827329063415527344e+01,0.000000000000000000e+00,3.050000000000000000e+01
1.926459693908691406e+01,0.000000000000000000e+00,3.037999999999999901e+01
2.027042174339294434e+01,0.000000000000000000e+00,3.048000000000000043e+01
2.126757216453552246e+01,4.000000000000000000e+01,3.037999999999999901e+01
2.226434803009033203e+01,4.000000000000000000e+01,3.028000000000000114e+01
2.326442050933837891e+01,4.000000000000000000e+01,3.042999999999999972e+01
2.426781988143920898e+01,4.000000000000000000e+01,3.041000000000000014e+01
2.526916098594665527e+01,4.000000000000000000e+01,3.053000000000000114e+01
2.626620888710021973e+01,4.000000000000000000e+01,3.062999999999999901e+01
2.726348996162414551e+01,4.000000000000000000e+01,3.098999999999999844e+01
2.826769733428955078e+01,4.000000000000000000e+01,3.123999999999999844e+01
2.926649785041809082e+01,4.000000000000000000e+01,3.142999999999999972e+01
3.026887178421020508e+01,4.000000000000000000e+01,3.182000000000000028e+01
3.127248549461364746e+01,4.000000000000000000e+01,3.210999999999999943e+01
3.227566480636596680e+01,4.000000000000000000e+01,3.247999999999999687e+01
3.326652836799621582e+01,4.000000000000000000e+01,3.277000000000000313e+01
3.426664376258850098e+01,4.000000000000000000e+01,3.296999999999999886e+01
3.526660156250000000e+01,4.000000000000000000e+01,3.342999999999999972e+01
3.626401376724243164e+01,4.000000000000000000e+01,3.385000000000000142e+01
3.726463341712951660e+01,4.000000000000000000e+01,3.418999999999999773e+01
3.908453297615051270e+01,4.000000000000000000e+01,3.482000000000000028e+01
4.008818411827087402e+01,4.000000000000000000e+01,3.521000000000000085e+01
