Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+01
4.500000000000000000e+01,9.995898799811584468e-01,3.550005126500235519e+01
6.000000000000000000e+01,5.741227157432149397e-01,3.555323466053209813e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.555888843926294385e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.549794931790836472e+01
1.050000000000000000e+02,1.000000000000000000e+02,5.445851200672245795e+01
1.200000000000000000e+02,1.000000000000000000e+02,6.249590426468586202e+01
1.350000000000000000e+02,8.763482691118406365e+01,6.967064663610199204e+01
1.500000000000000000e+02,4.641179100720955830e+01,7.482352612409880521e+01
1.650000000000000000e+02,4.249009750343520864e+01,7.531373781207059892e+01
1.800000000000000000e+02,4.211939091535396074e+01,7.536007613558075491e+01
1.950000000000000000e+02,4.208437059116295131e+01,7.536445367610463109e+01
2.100000000000000000e+02,4.208106244421014708e+01,7.536486719447373162e+01
2.250000000000000000e+02,4.208074994636081101e+01,7.536490625670489862e+01
2.400000000000000000e+02,4.208072042685762426e+01,7.536490994664279697e+01
2.550000000000000000e+02,4.208071763835550883e+01,7.536491029520556140e+01
2.700000000000000000e+02,4.208071737494492481e+01,7.536491032813188440e+01
2.850000000000000000e+02,4.208071735006205927e+01,7.536491033124224259e+01
3.000000000000000000e+02,4.208071734771192496e+01,7.536491033153600938e+01
3.150000000000000000e+02,4.208071734749046300e+01,7.536491033156369213e+01
3.300000000000000000e+02,4.208071734746908987e+01,7.536491033156636377e+01
3.450000000000000000e+02,4.208071734746727088e+01,7.536491033156659114e+01
3.600000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
3.750000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
3.900000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.050000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.200000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.350000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.500000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.650000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.800000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
4.950000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
5.100000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
5.250000000000000000e+02,4.208071734746681614e+01,7.536491033156664798e+01
5.400000000000000000e+02,4.761713606957482625e+01,7.467285799130314672e+01
5.550000000000000000e+02,4.814101339622129672e+01,7.460737332547233791e+01
5.700000000000000000e+02,4.819062755021514022e+01,7.460117155622310747e+01
5.850000000000000000e+02,4.819532667592238795e+01,7.460058416550970151e+01
6.000000000000000000e+02,4.819577174957748866e+01,7.460052853130281392e+01
6.150000000000000000e+02,4.819581390437588198e+01,7.460052326195301475e+01
6.300000000000000000e+02,4.819581789703534014e+01,7.460052276287058248e+01
6.450000000000000000e+02,4.819581827519732542e+01,7.460052271560033432e+01
6.600000000000000000e+02,4.819581831101459102e+01,7.460052271112317612e+01
6.750000000000000000e+02,4.819581831440655151e+01,7.460052271069918106e+01
6.900000000000000000e+02,4.819581831472805789e+01,7.460052271065899276e+01
7.050000000000000000e+02,4.819581831475852596e+01,7.460052271065518426e+01
7.200000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
7.350000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
7.500000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
7.650000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
7.800000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
7.950000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.100000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.250000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.400000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.550000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.700000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
8.850000000000000000e+02,4.819581831476125444e+01,7.460052271065484319e+01
