Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
1.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01
4.000000000000000000e+00,0.000000000000000000e+00,3.048000000000000043e+01
5.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
6.000000000000000000e+00,0.000000000000000000e+00,3.048000000000000043e+01
7.000000000000000000e+00,0.000000000000000000e+00,3.037999999999999901e+01
8.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
9.000000000000000000e+00,0.000000000000000000e+00,3.053000000000000114e+01
1.000000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.100000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.200000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.300000000000000000e+01,0.000000000000000000e+00,3.037999999999999901e+01
1.400000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.600000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.700000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01
1.800000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
1.900000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.000000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.100000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.200000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.300000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.400000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.500000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.600000000000000000e+01,0.000000000000000000e+00,3.050000000000000000e+01
2.700000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.800000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
2.900000000000000000e+01,0.000000000000000000e+00,3.053000000000000114e+01
3.000000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.100000000000000000e+01,3.965959959173805061e+00,3.050000000000000000e+01
3.200000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.300000000000000000e+01,3.965959959173805061e+00,3.048000000000000043e+01
3.400000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.500000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.600000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.700000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
3.800000000000000000e+01,3.965959959173805061e+00,3.050000000000000000e+01
3.900000000000000000e+01,3.965959959173805061e+00,3.050000000000000000e+01
4.000000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
4.100000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
4.200000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
4.300000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
4.400000000000000000e+01,3.965959959173805061e+00,3.053000000000000114e+01
4.500000000000000000e+01,7.931919918347613674e+00,3.053000000000000114e+01
4.600000000000000000e+01,7.931919918347613674e+00,3.055000000000000071e+01
4.700000000000000000e+01,7.931919918347613674e+00,3.053000000000000114e+01
4.800000000000000000e+01,7.931919918347613674e+00,3.069999999999999929e+01
4.900000000000000000e+01,7.931919918347613674e+00,3.089000000000000057e+01
5.000000000000000000e+01,7.931919918347613674e+00,3.098999999999999844e+01
5.100000000000000000e+01,7.931919918347613674e+00,3.101999999999999957e+01
5.200000000000000000e+01,7.931919918347613674e+00,3.101999999999999957e+01
5.300000000000000000e+01,7.931919918347613674e+00,3.101999999999999957e+01
5.400000000000000000e+01,7.931919918347613674e+00,3.101999999999999957e+01
5.500000000000000000e+01,7.931919918347613674e+00,3.103999999999999915e+01
5.600000000000000000e+01,7.931919918347613674e+00,3.105999999999999872e+01
5.700000000000000000e+01,7.931919918347613674e+00,3.116000000000000014e+01
5.800000000000000000e+01,7.931919918347613674e+00,3.146000000000000085e+01
5.900000000000000000e+01,7.931919918347613674e+00,3.148000000000000043e+01
6.000000000000000000e+01,1.180756770005791978e+01,3.150000000000000000e+01
6.100000000000000000e+01,1.180756770005791978e+01,3.150000000000000000e+01
6.200000000000000000e+01,1.180756770005791978e+01,3.150000000000000000e+01
6.300000000000000000e+01,1.180756770005791978e+01,3.157999999999999829e+01
6.400000000000000000e+01,1.180756770005791978e+01,3.189000000000000057e+01
6.500000000000000000e+01,1.180756770005791978e+01,3.192000000000000171e+01
6.600000000000000000e+01,1.180756770005791978e+01,3.196999999999999886e+01
6.700000000000000000e+01,1.180756770005791978e+01,3.198999999999999844e+01
6.800000000000000000e+01,1.180756770005791978e+01,3.198999999999999844e+01
6.900000000000000000e+01,1.180756770005791978e+01,3.210999999999999943e+01
7.000000000000000000e+01,1.180756770005791978e+01,3.238000000000000256e+01
7.100000000000000000e+01,1.180756770005791978e+01,3.246000000000000085e+01
7.200000000000000000e+01,1.180756770005791978e+01,3.247999999999999687e+01
7.300000000000000000e+01,1.180756770005791978e+01,3.247999999999999687e+01
7.400000000000000000e+01,1.180756770005791978e+01,3.279999999999999716e+01
7.500000000000000000e+01,1.555616495957364975e+01,3.285000000000000142e+01
7.600000000000000000e+01,1.555616495957364975e+01,3.292000000000000171e+01
7.700000000000000000e+01,1.555616495957364975e+01,3.296999999999999886e+01
7.800000000000000000e+01,1.555616495957364975e+01,3.299000000000000199e+01
7.900000000000000000e+01,1.555616495957364975e+01,3.321000000000000085e+01
8.000000000000000000e+01,1.555616495957364975e+01,3.340999999999999659e+01
8.100000000000000000e+01,1.555616495957364975e+01,3.342999999999999972e+01
8.200000000000000000e+01,1.555616495957364975e+01,3.346000000000000085e+01
8.300000000000000000e+01,1.555616495957364975e+01,3.392000000000000171e+01
8.400000000000000000e+01,1.555616495957364975e+01,3.389999999999999858e+01
8.500000000000000000e+01,1.555616495957364975e+01,3.395000000000000284e+01
8.600000000000000000e+01,1.555616495957364975e+01,3.414000000000000057e+01
8.700000000000000000e+01,1.555616495957364975e+01,3.431000000000000227e+01
8.800000000000000000e+01,1.555616495957364975e+01,3.438000000000000256e+01
8.900000000000000000e+01,1.555616495957364975e+01,3.442999999999999972e+01
9.000000000000000000e+01,1.911748021858258895e+01,3.456000000000000227e+01
9.100000000000000000e+01,1.911748021858258895e+01,3.486999999999999744e+01
9.200000000000000000e+01,1.911748021858258895e+01,3.492000000000000171e+01
9.300000000000000000e+01,1.911748021858258895e+01,3.492000000000000171e+01
9.400000000000000000e+01,1.911748021858258895e+01,3.528999999999999915e+01
9.500000000000000000e+01,1.911748021858258895e+01,3.539000000000000057e+01
9.600000000000000000e+01,1.911748021858258895e+01,3.540999999999999659e+01
9.700000000000000000e+01,1.911748021858258895e+01,3.564999999999999858e+01
9.800000000000000000e+01,1.911748021858258895e+01,3.582999999999999829e+01
9.900000000000000000e+01,1.911748021858258895e+01,3.589999999999999858e+01
1.000000000000000000e+02,1.911748021858258895e+01,3.631000000000000227e+01
1.010000000000000000e+02,1.911748021858258895e+01,3.634000000000000341e+01
1.020000000000000000e+02,1.911748021858258895e+01,3.639000000000000057e+01
1.030000000000000000e+02,1.911748021858258895e+01,3.657999999999999829e+01
1.040000000000000000e+02,1.911748021858258895e+01,3.682999999999999829e+01
1.050000000000000000e+02,2.254299644645346845e+01,3.688000000000000256e+01
1.060000000000000000e+02,2.254299644645346845e+01,3.688000000000000256e+01
1.070000000000000000e+02,2.254299644645346845e+01,3.724000000000000199e+01
1.080000000000000000e+02,2.254299644645346845e+01,3.735999999999999943e+01
1.090000000000000000e+02,2.254299644645346845e+01,3.739000000000000057e+01
1.100000000000000000e+02,2.254299644645346845e+01,3.772999999999999687e+01
1.110000000000000000e+02,2.254299644645346845e+01,3.785000000000000142e+01
1.120000000000000000e+02,2.254299644645346845e+01,3.821999999999999886e+01
1.130000000000000000e+02,2.254299644645346845e+01,3.828999999999999915e+01
1.140000000000000000e+02,2.254299644645346845e+01,3.839000000000000057e+01
1.150000000000000000e+02,2.254299644645346845e+01,3.875000000000000000e+01
1.160000000000000000e+02,2.254299644645346845e+01,3.875000000000000000e+01
1.170000000000000000e+02,2.254299644645346845e+01,3.907000000000000028e+01
1.180000000000000000e+02,2.254299644645346845e+01,3.924000000000000199e+01
1.190000000000000000e+02,2.254299644645346845e+01,3.932000000000000028e+01
1.200000000000000000e+02,2.554954152219458763e+01,3.967999999999999972e+01
1.210000000000000000e+02,2.554954152219458763e+01,3.975999999999999801e+01
