Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,2.527429630016763440e+01,4.000548457134914315e+01
1.050000000000000000e+02,1.339553660952464043e+01,4.159600484652668229e+01
1.200000000000000000e+02,1.152033507428814119e+01,4.184708712611745796e+01
1.350000000000000000e+02,1.122464653936344803e+01,4.188667868467939570e+01
1.500000000000000000e+02,1.117802964076906846e+01,4.189292050826293234e+01
1.650000000000000000e+02,1.117068044150477135e+01,4.189390453780310963e+01
1.800000000000000000e+02,1.116952183826992950e+01,4.189405967032399758e+01
1.950000000000000000e+02,1.116933918428725292e+01,4.189408412699037854e+01
2.100000000000000000e+02,1.116931038886161787e+01,4.189408798258722300e+01
2.250000000000000000e+02,1.116930584925916037e+01,4.189408859042254107e+01
2.400000000000000000e+02,1.116930513359017141e+01,4.189408868624786919e+01
2.550000000000000000e+02,1.116930502076485254e+01,4.189408870135474672e+01
2.700000000000000000e+02,1.116930500297775097e+01,4.189408870373637228e+01
2.850000000000000000e+02,1.116930500017411987e+01,4.189408870411176622e+01
3.000000000000000000e+02,1.116930499973176438e+01,4.189408870417099706e+01
3.150000000000000000e+02,1.116930499966213119e+01,4.189408870418031938e+01
3.300000000000000000e+02,1.116930499965070567e+01,4.189408870418185415e+01
3.450000000000000000e+02,1.116930499964939827e+01,4.189408870418202468e+01
3.600000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
3.750000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
3.900000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.050000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.200000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.350000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.500000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.650000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.800000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
4.950000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.100000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.250000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.400000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.550000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.700000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
5.850000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
6.000000000000000000e+02,1.116930499964900037e+01,4.189408870418208153e+01
