Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,1.000000000000000000e+02,5.719329417469316468e+01
1.350000000000000000e+02,1.000000000000000000e+02,6.448330046297542140e+01
1.500000000000000000e+02,1.000000000000000000e+02,7.098287855972432681e+01
1.650000000000000000e+02,1.000000000000000000e+02,7.675395316440460647e+01
1.800000000000000000e+02,7.283389689552988955e+01,8.185882078253570171e+01
1.950000000000000000e+02,3.859551254387201880e+01,8.368094752411877835e+01
2.100000000000000000e+02,2.724435574242919245e+01,8.190964133411904413e+01
2.250000000000000000e+02,3.985058718731305305e+01,7.922814323363223821e+01
2.400000000000000000e+02,5.790854381017634722e+01,7.810549886957215904e+01
2.550000000000000000e+02,6.501120464692773737e+01,7.889702871212051605e+01
2.700000000000000000e+02,5.928830546615878916e+01,8.029731357598200248e+01
2.850000000000000000e+02,4.983003455566284146e+01,8.096823107229010930e+01
3.000000000000000000e+02,4.553884008501305658e+01,8.062671255304235274e+01
3.150000000000000000e+02,4.804736976283236771e+01,7.990189549665393542e+01
3.300000000000000000e+02,5.295965945768460870e+01,7.950979991495563581e+01
3.450000000000000000e+02,5.549010160718999884e+01,7.964859998570591415e+01
3.600000000000000000e+02,5.444127174363877941e+01,8.002091804961060006e+01
3.750000000000000000e+02,5.190934723215271873e+01,8.024599402630229861e+01
3.900000000000000000e+02,5.044671528110684733e+01,8.019471408948567159e+01
4.050000000000000000e+02,5.085278717650317049e+01,8.000509542057005774e+01
4.200000000000000000e+02,5.214681120759670563e+01,7.987782711860029394e+01
4.350000000000000000e+02,5.297884694708575637e+01,7.989322984252225979e+01
4.500000000000000000e+02,5.284276611631118925e+01,7.998895442526173838e+01
4.650000000000000000e+02,5.218702181721581468e+01,8.006000734322179824e+01
4.800000000000000000e+02,5.172014017487873616e+01,8.005798963171810101e+01
4.950000000000000000e+02,5.175075388798980924e+01,8.001012512635298890e+01
5.100000000000000000e+02,5.207997139592897895e+01,7.997090323957240798e+01
5.250000000000000000e+02,5.233887273454053712e+01,7.996878280343389633e+01
5.400000000000000000e+02,5.234424541031805944e+01,7.999246686221056279e+01
5.550000000000000000e+02,5.218060697713350038e+01,8.001390024745978735e+01
5.700000000000000000e+02,5.203854657943746531e+01,8.001666451697479943e+01
5.850000000000000000e+02,5.202455020413228226e+01,8.000508189059064534e+01
6.000000000000000000e+02,5.210498277239203446e+01,7.999347785405319655e+01
