Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,1.000000000000000000e+02,5.719329417469316468e+01
1.350000000000000000e+02,1.000000000000000000e+02,6.448330046297542140e+01
1.500000000000000000e+02,1.000000000000000000e+02,7.098287855972432681e+01
1.650000000000000000e+02,1.000000000000000000e+02,7.675395316440460647e+01
1.800000000000000000e+02,6.877507806469782281e+01,8.185882078253570171e+01
1.950000000000000000e+02,5.341817122287438480e+01,8.328071187040819723e+01
2.100000000000000000e+02,3.850167600469412577e+01,8.301885101440365133e+01
2.250000000000000000e+02,4.104434506316421505e+01,8.131701953112485626e+01
2.400000000000000000e+02,4.357827672252744122e+01,8.006735593278540364e+01
2.550000000000000000e+02,5.121629694450794545e+01,7.921466966923441078e+01
2.700000000000000000e+02,5.366303323466252806e+01,7.921590363920944355e+01
2.850000000000000000e+02,5.582053499767050653e+01,7.945855913822089178e+01
3.000000000000000000e+02,5.426753648928488616e+01,7.988578314805039327e+01
3.150000000000000000e+02,5.339272913598633608e+01,8.010958461257814633e+01
3.300000000000000000e+02,5.175125858688357283e+01,8.022074869852662005e+01
3.450000000000000000e+02,5.152753741972611579e+01,8.015683285936631819e+01
3.600000000000000000e+02,5.130200454902447404e+01,8.007834640683915950e+01
3.750000000000000000e+02,5.181120516027917233e+01,7.998681853236877259e+01
3.900000000000000000e+02,5.201249399993972133e+01,7.995630016335843493e+01
4.050000000000000000e+02,5.232777725413328085e+01,7.994923358793562329e+01
4.200000000000000000e+02,5.229639824219162136e+01,7.997411767368043911e+01
4.350000000000000000e+02,5.230011484336166916e+01,7.999298279705169534e+01
4.500000000000000000e+02,5.216584407592417705e+01,8.000999961619010037e+01
4.650000000000000000e+02,5.213205998853586465e+01,8.001176475563607937e+01
4.800000000000000000e+02,5.207803932418415371e+01,8.000998790236837976e+01
4.950000000000000000e+02,5.210243472061131342e+01,8.000308750928496693e+01
5.100000000000000000e+02,5.210823811703917130e+01,7.999940540299121494e+01
5.250000000000000000e+02,5.213927060511382905e+01,7.999672850324600404e+01
5.400000000000000000e+02,5.214223629609394806e+01,7.999742905741607046e+01
5.550000000000000000e+02,5.215034505852011648e+01,7.999834008420629061e+01
5.700000000000000000e+02,5.214169597063126815e+01,7.999994452514135901e+01
5.850000000000000000e+02,5.213990423627420512e+01,8.000050684015172919e+01
6.000000000000000000e+02,5.213341300229384956e+01,8.000082626859574475e+01
