Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,9.559689365649688852e+01,4.905284092670416385e+01
1.200000000000000000e+02,8.691642908721928507e+01,5.675522755127065011e+01
1.350000000000000000e+02,7.850105944081525422e+01,6.279277739821850446e+01
1.500000000000000000e+02,7.163431881661495026e+01,6.734692685363933151e+01
1.650000000000000000e+02,6.640333804860074451e+01,7.071991945551764047e+01
1.800000000000000000e+02,6.253725401476325629e+01,7.319768880549145251e+01
1.950000000000000000e+02,5.971610797027084061e+01,7.501220731182922918e+01
2.100000000000000000e+02,5.766620501805706311e+01,7.634021405282010164e+01
2.250000000000000000e+02,5.617703293385962127e+01,7.731264906117496594e+01
2.400000000000000000e+02,5.509357733626021059e+01,7.802536538657699339e+01
2.550000000000000000e+02,5.430367469239570255e+01,7.854823511324048013e+01
2.700000000000000000e+02,5.372660327432837590e+01,7.893216413228321926e+01
2.850000000000000000e+02,5.330425223268137103e+01,7.921427978333440478e+01
3.000000000000000000e+02,5.299467476376094055e+01,7.942170374090363794e+01
3.150000000000000000e+02,5.276748749645650349e+01,7.957428102891475419e+01
3.300000000000000000e+02,5.260060848376395626e+01,7.968655355428819576e+01
3.450000000000000000e+02,5.247794153802965411e+01,7.976919018775197401e+01
3.600000000000000000e+02,5.238772497607663325e+01,7.983002588202720062e+01
3.750000000000000000e+02,5.232134765996955394e+01,7.987481876973890849e+01
3.900000000000000000e+02,5.227249553676526972e+01,7.990780310906848172e+01
4.050000000000000000e+02,5.223653351666584399e+01,7.993209393085857073e+01
4.200000000000000000e+02,5.221005604367787356e+01,7.994998362998097718e+01
4.350000000000000000e+02,5.219055929795160864e+01,7.996315962378503173e+01
4.500000000000000000e+02,5.217620152801461586e+01,7.997286423488463925e+01
4.650000000000000000e+02,5.216562749055457004e+01,7.998001221805469640e+01
4.800000000000000000e+02,5.215783966736727706e+01,7.998527719827825422e+01
4.950000000000000000e+02,5.215210369447810734e+01,7.998915526918148089e+01
5.100000000000000000e+02,5.214787885977616355e+01,7.999201180059424132e+01
5.250000000000000000e+02,5.214476699353831179e+01,7.999411589587055005e+01
5.400000000000000000e+02,5.214247486782588226e+01,7.999566576172549048e+01
5.550000000000000000e+02,5.214078652515597412e+01,7.999680738949126635e+01
5.700000000000000000e+02,5.213954290948166204e+01,7.999764831241185448e+01
5.850000000000000000e+02,5.213862686976799665e+01,7.999826773748606001e+01
6.000000000000000000e+02,5.213795211761781445e+01,7.999872400763251790e+01
