Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,1.000000000000000000e+02,5.719329417469316468e+01
1.350000000000000000e+02,1.000000000000000000e+02,6.448330046297542140e+01
1.500000000000000000e+02,1.000000000000000000e+02,7.098287855972432681e+01
1.650000000000000000e+02,1.000000000000000000e+02,7.675395316440460647e+01
1.800000000000000000e+02,7.244723329588796901e+01,8.185882078253570171e+01
1.950000000000000000e+02,5.370643657248930936e+01,8.364282064166411601e+01
2.100000000000000000e+02,4.008544983245075599e+01,8.336613438403463761e+01
2.250000000000000000e+02,3.865702839301663829e+01,8.177925150037879121e+01
2.400000000000000000e+02,4.246209688419514094e+01,8.023948048170450420e+01
2.550000000000000000e+02,4.884765317218607095e+01,7.925642305876954197e+01
2.700000000000000000e+02,5.349517087633544321e+01,7.901890780903607947e+01
2.850000000000000000e+02,5.567060917934905717e+01,7.926803330043935603e+01
3.000000000000000000e+02,5.541216153628135999e+01,7.970278193783570941e+01
3.150000000000000000e+02,5.400201510550358108e+01,8.006104873329195470e+01
3.300000000000000000e+02,5.245365337299968189e+01,8.023805381869493658e+01
3.450000000000000000e+02,5.147425899245641290e+01,8.024143007665725236e+01
3.600000000000000000e+02,5.118493516565283841e+01,8.014774320750200332e+01
3.750000000000000000e+02,5.140484064393384500e+01,8.003650846663708762e+01
3.900000000000000000e+02,5.181652981465476415e+01,7.996004441408473440e+01
4.050000000000000000e+02,5.217426323733641169e+01,7.993319492878026722e+01
4.200000000000000000e+02,5.235817623488804884e+01,7.994480876122821655e+01
4.350000000000000000e+02,5.237277847742372927e+01,7.997321295170581834e+01
4.500000000000000000e+02,5.228666113262983828e+01,7.999972358522342120e+01
4.650000000000000000e+02,5.217881888816669544e+01,8.001462087723086825e+01
4.800000000000000000e+02,5.210159816844550562e+01,8.001712402418468173e+01
4.950000000000000000e+02,5.207223615039592346e+01,8.001171103835798704e+01
5.100000000000000000e+02,5.208121479815446975e+01,8.000403548632147022e+01
5.250000000000000000e+02,5.210803959978451871e+01,7.999814751115889067e+01
5.400000000000000000e+02,5.213414643110899505e+01,7.999559872267298033e+01
5.550000000000000000e+02,5.214947943897858806e+01,7.999592614741129637e+01
5.700000000000000000e+02,5.215270106403180250e+01,7.999772859987035645e+01
5.850000000000000000e+02,5.214788541593702575e+01,7.999963739807424190e+01
6.000000000000000000e+02,5.214049843274691654e+01,8.000084671825931082e+01
