Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,9.762793461665376071e+01,4.905284092670416385e+01
1.200000000000000000e+02,8.999163632479024955e+01,5.695730120193593393e+01
1.350000000000000000e+02,8.150750156256366097e+01,6.327878421763722372e+01
1.500000000000000000e+02,7.399028796077797665e+01,6.807802238846795717e+01
1.650000000000000000e+02,6.796856377083054213e+01,7.160295498969981054e+01
1.800000000000000000e+02,6.340547449959807125e+01,7.413581584189500973e+01
1.950000000000000000e+02,6.006251068106745095e+01,7.592901839058492897e+01
2.100000000000000000e+02,5.766587306878476227e+01,7.718570679864353679e+01
2.250000000000000000e+02,5.597212249369728454e+01,7.806021809059029692e+01
2.400000000000000000e+02,5.478665600761009102e+01,7.866579353944541708e+01
2.550000000000000000e+02,5.396243887468754252e+01,7.908369295481162453e+01
2.700000000000000000e+02,5.339202682100344077e+01,7.937137675814477689e+01
2.850000000000000000e+02,5.299854109523539591e+01,7.956907590382201079e+01
3.000000000000000000e+02,5.272772575657637617e+01,7.970476768628469699e+01
3.150000000000000000e+02,5.254164302462901048e+01,7.979781671826305001e+01
3.300000000000000000e+02,5.241393264657185114e+01,7.986158224005424699e+01
3.450000000000000000e+02,5.232635897928857105e+01,7.990525908684293199e+01
3.600000000000000000e+02,5.226634569716409828e+01,7.993516534381046768e+01
3.750000000000000000e+02,5.222523842198155108e+01,7.995563720475479386e+01
3.900000000000000000e+02,5.219709099984218170e+01,7.996964808651608791e+01
4.050000000000000000e+02,5.217782265674773612e+01,7.997923562953809551e+01
4.200000000000000000e+02,5.216463513502865368e+01,7.998579554593447938e+01
4.350000000000000000e+02,5.215561079934558819e+01,7.999028351548378168e+01
4.500000000000000000e+02,5.214943610321705592e+01,7.999335374453607983e+01
4.650000000000000000e+02,5.214521160065758210e+01,7.999545397769350075e+01
4.800000000000000000e+02,5.214232156081071423e+01,7.999689060840557886e+01
4.950000000000000000e+02,5.214034455946375601e+01,7.999787327814675564e+01
5.100000000000000000e+02,5.213899220637073029e+01,7.999854541523257012e+01
5.250000000000000000e+02,5.213806717338256647e+01,7.999900514048187006e+01
5.400000000000000000e+02,5.213743445352433525e+01,7.999931957554036899e+01
5.550000000000000000e+02,5.213700168535550006e+01,7.999953463431813816e+01
5.700000000000000000e+02,5.213670568602670841e+01,7.999968172263800170e+01
5.850000000000000000e+02,5.213650323532275621e+01,7.999978232193979011e+01
6.000000000000000000e+02,5.213636476960162724e+01,7.999985112508431939e+01
