Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,1.000000000000000000e+02,5.719329417469316468e+01
1.350000000000000000e+02,1.000000000000000000e+02,6.448330046297542140e+01
1.500000000000000000e+02,1.000000000000000000e+02,7.098287855972432681e+01
1.650000000000000000e+02,1.000000000000000000e+02,7.675395316440460647e+01
1.800000000000000000e+02,7.394420090301922244e+01,8.185882078253570171e+01
1.950000000000000000e+02,5.430760716365580976e+01,8.379042695447662936e+01
2.100000000000000000e+02,3.939791994631654859e+01,8.355535717887408964e+01
2.250000000000000000e+02,3.752969727105443809e+01,8.187814427963775188e+01
2.400000000000000000e+02,4.130962073193486361e+01,8.021545272129537807e+01
2.550000000000000000e+02,4.851902910913027966e+01,7.912143701558477460e+01
2.700000000000000000e+02,5.376259553262394064e+01,7.886724899523932208e+01
2.850000000000000000e+02,5.639897706520815035e+01,7.916050407455281857e+01
3.000000000000000000e+02,5.605217867512925523e+01,7.967975038597626281e+01
3.150000000000000000e+02,5.436866180947453131e+01,8.010389514083385620e+01
3.300000000000000000e+02,5.243049747680522898e+01,8.031205231202676487e+01
3.450000000000000000e+02,5.122508807293745292e+01,8.030444168795736459e+01
3.600000000000000000e+02,5.086946803626307911e+01,8.017875421283184778e+01
3.750000000000000000e+02,5.118894159254747223e+01,8.003273819615009188e+01
3.900000000000000000e+02,5.174727233578961005e+01,7.993540595409268690e+01
4.050000000000000000e+02,5.223389056512057493e+01,7.990461230466843290e+01
4.200000000000000000e+02,5.247319036831462569e+01,7.992546697502751840e+01
4.350000000000000000e+02,5.247826062843002859e+01,7.996749467467282102e+01
4.500000000000000000e+02,5.234173720291140341e+01,8.000508857228760462e+01
4.650000000000000000e+02,5.218040951772339042e+01,8.002479220408656602e+01
4.800000000000000000e+02,5.206836226072287133e+01,8.002625785946071346e+01
4.950000000000000000e+02,5.203100235971139398e+01,8.001649163927521613e+01
5.100000000000000000e+02,5.205150258161805255e+01,8.000418464998136869e+01
5.250000000000000000e+02,5.209764972161634944e+01,7.999534635856804243e+01
5.400000000000000000e+02,5.213984427335542904e+01,7.999210093400313326e+01
5.550000000000000000e+02,5.216285463645799325e+01,7.999340149251554521e+01
5.700000000000000000e+02,5.216536536183891570e+01,7.999682062245278757e+01
5.850000000000000000e+02,5.215502027261795348e+01,8.000008609288238404e+01
6.000000000000000000e+02,5.214135697708465500e+01,8.000194698393715953e+01
