Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,9.357709175334076690e+01,5.719329417469316468e+01
1.350000000000000000e+02,8.411562870254866198e+01,6.384568639808156831e+01
1.500000000000000000e+02,7.535996805531971177e+01,6.884144906361007088e+01
1.650000000000000000e+02,6.841150701008058377e+01,7.241667483999970045e+01
1.800000000000000000e+02,6.329399749813244824e+01,7.490101209525982995e+01
1.950000000000000000e+02,5.967962178965991171e+01,7.659542301373818418e+01
2.100000000000000000e+02,5.719038038287730785e+01,7.773726670506329128e+01
2.250000000000000000e+02,5.550277414687794675e+01,7.850074281230871520e+01
2.400000000000000000e+02,5.437006528153081319e+01,7.900861854354587877e+01
2.550000000000000000e+02,5.361471450216758683e+01,7.934532773153756580e+01
2.700000000000000000e+02,5.311313208980091360e+01,7.956806180241898119e+01
2.850000000000000000e+02,5.278098437381171948e+01,7.971518462489041212e+01
3.000000000000000000e+02,5.256143767316604709e+01,7.981226933659291944e+01
3.150000000000000000e+02,5.241649426212421048e+01,7.987629312775936796e+01
3.300000000000000000e+02,5.232087994281793186e+01,7.991849636467276241e+01
3.450000000000000000e+02,5.225783982941524641e+01,7.994630798253734838e+01
3.600000000000000000e+02,5.221629109972876392e+01,7.996463214579512169e+01
3.750000000000000000e+02,5.218891344036074287e+01,7.997670380235831544e+01
3.900000000000000000e+02,5.217087634562943066e+01,7.998465573402012296e+01
4.050000000000000000e+02,5.215899430320664010e+01,7.998989359052114878e+01
4.200000000000000000e+02,5.215116749185992973e+01,7.999334358058541739e+01
4.350000000000000000e+02,5.214601214473731972e+01,7.999561590745287276e+01
4.500000000000000000e+02,5.214261654143733438e+01,7.999711254317639941e+01
4.650000000000000000e+02,5.214038005397006970e+01,7.999809826914639643e+01
4.800000000000000000e+02,5.213890703104358693e+01,7.999874749039446442e+01
4.950000000000000000e+02,5.213793686045838882e+01,7.999917507966779340e+01
5.100000000000000000e+02,5.213729788578611846e+01,7.999945669687417649e+01
5.250000000000000000e+02,5.213687704572998882e+01,7.999964217401577571e+01
5.400000000000000000e+02,5.213659987394093775e+01,7.999976433169723578e+01
5.550000000000000000e+02,5.213641732473445956e+01,7.999984478624355688e+01
5.700000000000000000e+02,5.213629709548175839e+01,7.999989777454402429e+01
5.850000000000000000e+02,5.213621791104421277e+01,7.999993267323208102e+01
6.000000000000000000e+02,5.213616575926207020e+01,7.999995565788771046e+01
