Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,1.000000000000000000e+02,3.000000000000000000e+01
9.000000000000000000e+01,1.000000000000000000e+02,4.000548457134914315e+01
1.050000000000000000e+02,1.000000000000000000e+02,4.905284092670416385e+01
1.200000000000000000e+02,1.000000000000000000e+02,5.719329417469316468e+01
1.350000000000000000e+02,1.000000000000000000e+02,6.448330046297542140e+01
1.500000000000000000e+02,1.000000000000000000e+02,7.098287855972432681e+01
1.650000000000000000e+02,1.000000000000000000e+02,7.675395316440460647e+01
1.800000000000000000e+02,7.811956842196758544e+01,8.185882078253570171e+01
1.950000000000000000e+02,5.123550735147780699e+01,8.420210645096483404e+01
2.100000000000000000e+02,3.546894977543010441e+01,8.361489322691284087e+01
2.250000000000000000e+02,3.313717937230583743e+01,8.154307808026476323e+01
2.400000000000000000e+02,4.116213557012869728e+01,7.948637766455163955e+01
2.550000000000000000e+02,5.117873311894977917e+01,7.846311131291116681e+01
2.700000000000000000e+02,5.811164697261055778e+01,7.854837660663133647e+01
2.850000000000000000e+02,5.941473238092395093e+01,7.930829448323925135e+01
3.000000000000000000e+02,5.686159928459331070e+01,8.010793148325694801e+01
3.150000000000000000e+02,5.290371247667880539e+01,8.056165696106995711e+01
3.300000000000000000e+02,5.013466226694566075e+01,8.057137374098374494e+01
3.450000000000000000e+02,4.930760083003055172e+01,8.030666597159734010e+01
3.600000000000000000e+02,5.019120703723619670e+01,7.999145768430935277e+01
3.750000000000000000e+02,5.164391624844897422e+01,7.980048523002551519e+01
3.900000000000000000e+02,5.281374912622560203e+01,7.977532038404308423e+01
4.050000000000000000e+02,5.320025380947464555e+01,7.986858537553899851e+01
4.200000000000000000e+02,5.294620068307115446e+01,7.998905760483472704e+01
4.350000000000000000e+02,5.238711618023078387e+01,8.007030796858231270e+01
4.500000000000000000e+02,5.192599899192511970e+01,8.008683050613245769e+01
4.650000000000000000e+02,5.173174935336602687e+01,8.005589782166492796e+01
4.800000000000000000e+02,5.180955899737244152e+01,8.000942488491375570e+01
4.950000000000000000e+02,5.201088524841181027e+01,7.997608971730392113e+01
5.100000000000000000e+02,5.219988942344004101e+01,7.996654100334797022e+01
5.250000000000000000e+02,5.228505247637903608e+01,7.997676957224211947e+01
5.400000000000000000e+02,5.226860608383788787e+01,7.999420341061068029e+01
5.550000000000000000e+02,5.219332961878647836e+01,8.000796677116471756e+01
5.700000000000000000e+02,5.211986022132522578e+01,8.001268363253581128e+01
5.850000000000000000e+02,5.208088839189961305e+01,8.000959467734782038e+01
6.000000000000000000e+02,5.208363405104229571e+01,8.000302168235225508e+01
