Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
4.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,3.537909126259879145e+01,3.000000000000000000e+01
9.000000000000000000e+01,3.688142673410523287e+01,3.354180105139175794e+01
1.050000000000000000e+02,3.822591596335163899e+01,3.690539462483519628e+01
1.200000000000000000e+02,3.943015708873426917e+01,4.008610080251088448e+01
1.350000000000000000e+02,4.051001635297355108e+01,4.308221752709238217e+01
1.500000000000000000e+02,4.147971531419906910e+01,4.589455995798334698e+01
1.650000000000000000e+02,4.235193493659743069e+01,4.852602816319284784e+01
1.800000000000000000e+02,4.313793049747610553e+01,5.098120850525015157e+01
1.950000000000000000e+02,4.384765205825334533e+01,5.326601232678126507e+01
2.100000000000000000e+02,4.448986613401024215e+01,5.538735387910924146e+01
2.250000000000000000e+02,4.507227509035882917e+01,5.735286795343307631e+01
2.400000000000000000e+02,4.560163164418911919e+01,5.917066642389391973e+01
2.550000000000000000e+02,4.608384660970554592e+01,6.084913192049174313e+01
2.700000000000000000e+02,4.652408869164469252e+01,6.239674611828485240e+01
2.850000000000000000e+02,4.692687567504548696e+01,6.382194964035943485e+01
3.000000000000000000e+02,4.729615679654880722e+01,6.513303029661460641e+01
3.150000000000000000e+02,4.763538641387152950e+01,6.633803628306617384e+01
3.300000000000000000e+02,4.794758932989757483e+01,6.744471100989579782e+01
3.450000000000000000e+02,4.823541828981870339e+01,6.846044637502728847e+01
3.600000000000000000e+02,4.850120426834598675e+01,6.939225152133911934e+01
3.750000000000000000e+02,4.874700021287497975e+01,7.024673438214915677e+01
3.900000000000000000e+02,4.897461891985238225e+01,7.103009360893099711e+01
4.050000000000000000e+02,4.918566570594780529e+01,7.174811876993481974e+01
4.200000000000000000e+02,4.938156650161146644e+01,7.240619699568219403e+01
4.350000000000000000e+02,4.956359194906442411e+01,7.300932451831874914e+01
4.500000000000000000e+02,4.973287803500306836e+01,7.356212180092256858e+01
4.650000000000000000e+02,4.989044373421068457e+01,7.406885117704047161e+01
4.800000000000000000e+02,5.003720608664001190e+01,7.453343611884884012e+01
4.950000000000000000e+02,5.017399307923960805e+01,7.495948142470945186e+01
5.100000000000000000e+02,5.030155465601759346e+01,7.535029376477109508e+01
5.250000000000000000e+02,5.042057213622562983e+01,7.570890214850186339e+01
5.400000000000000000e+02,5.053166628136744976e+01,7.603807798281877695e+01
5.550000000000000000e+02,5.063540421699456573e+01,7.634035447612029657e+01
5.700000000000000000e+02,5.073230538477032070e+01,7.661804521432975434e+01
5.850000000000000000e+02,5.082284667377352605e+01,7.687326179222509381e+01
6.000000000000000000e+02,5.090746685713040165e+01,7.710793042889429216e+01
