Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,2.371999999999999886e+01
9.990503787994384766e-01,0.000000000000000000e+00,2.383999999999999986e+01
2.997477293014526367e+00,0.000000000000000000e+00,2.371999999999999886e+01
3.995552062988281250e+00,0.000000000000000000e+00,2.371999999999999886e+01
4.999530076980590820e+00,0.000000000000000000e+00,2.369000000000000128e+01
5.995380163192749023e+00,0.000000000000000000e+00,2.373999999999999844e+01
6.990046739578247070e+00,0.000000000000000000e+00,2.371999999999999886e+01
7.986749410629272461e+00,0.000000000000000000e+00,2.378999999999999915e+01
8.983107089996337891e+00,0.000000000000000000e+00,2.371999999999999886e+01
9.978865861892700195e+00,0.000000000000000000e+00,2.373999999999999844e+01
1.097494268417358398e+01,0.000000000000000000e+00,2.373999999999999844e+01
1.197162699699401855e+01,0.000000000000000000e+00,2.371999999999999886e+01
1.296618938446044922e+01,0.000000000000000000e+00,2.371999999999999886e+01
1.396309542655944824e+01,0.000000000000000000e+00,2.389000000000000057e+01
1.495894026756286621e+01,0.000000000000000000e+00,2.373999999999999844e+01
1.595580506324768066e+01,0.000000000000000000e+00,2.371999999999999886e+01
1.695003366470336914e+01,0.000000000000000000e+00,2.385999999999999943e+01
1.794751620292663574e+01,0.000000000000000000e+00,2.383999999999999986e+01
1.894562196731567383e+01,0.000000000000000000e+00,2.389000000000000057e+01
1.994431519508361816e+01,0.000000000000000000e+00,2.398000000000000043e+01
2.093751215934753418e+01,2.500000000000000000e+01,2.398000000000000043e+01
2.193336224555969238e+01,2.500000000000000000e+01,2.378999999999999915e+01
2.293198370933532715e+01,2.500000000000000000e+01,2.376000000000000156e+01
2.392637181282043457e+01,2.500000000000000000e+01,2.405999999999999872e+01
2.492367768287658691e+01,2.500000000000000000e+01,2.405999999999999872e+01
2.592344427108764648e+01,2.500000000000000000e+01,2.416000000000000014e+01
2.692128133773803711e+01,2.500000000000000000e+01,2.428000000000000114e+01
2.791263175010681152e+01,2.500000000000000000e+01,2.451999999999999957e+01
2.891074967384338379e+01,2.500000000000000000e+01,2.467000000000000171e+01
2.990686297416687012e+01,2.500000000000000000e+01,2.483999999999999986e+01
3.090563201904296875e+01,2.500000000000000000e+01,2.510999999999999943e+01
3.190164637565612793e+01,2.500000000000000000e+01,2.516000000000000014e+01
3.289892840385437012e+01,2.500000000000000000e+01,2.550000000000000000e+01
3.389640188217163086e+01,2.500000000000000000e+01,2.564000000000000057e+01
3.489594817161560059e+01,2.500000000000000000e+01,2.605999999999999872e+01
3.589196467399597168e+01,2.500000000000000000e+01,2.612999999999999901e+01
3.688960623741149902e+01,2.500000000000000000e+01,2.650000000000000000e+01
3.788653302192687988e+01,2.500000000000000000e+01,2.662000000000000099e+01
3.888528752326965332e+01,2.500000000000000000e+01,2.698999999999999844e+01
3.988157677650451660e+01,2.500000000000000000e+01,2.707999999999999829e+01
4.087889695167541504e+01,2.500000000000000000e+01,2.750000000000000000e+01
4.187558960914611816e+01,2.500000000000000000e+01,2.760000000000000142e+01
4.286895084381103516e+01,2.500000000000000000e+01,2.798999999999999844e+01
4.386036205291748047e+01,2.500000000000000000e+01,2.805999999999999872e+01
4.485519289970397949e+01,2.500000000000000000e+01,2.835000000000000142e+01
