Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,4.207000000000000028e+01
9.946906566619873047e-01,0.000000000000000000e+00,4.202000000000000313e+01
4.211519718170166016e+00,0.000000000000000000e+00,4.207000000000000028e+01
5.511750459671020508e+00,0.000000000000000000e+00,4.203999999999999915e+01
6.681744575500488281e+00,0.000000000000000000e+00,4.199000000000000199e+01
7.988544464111328125e+00,0.000000000000000000e+00,4.207000000000000028e+01
1.027451515197753906e+01,0.000000000000000000e+00,4.203999999999999915e+01
1.127480840682983398e+01,0.000000000000000000e+00,4.203999999999999915e+01
1.227076292037963867e+01,0.000000000000000000e+00,4.207000000000000028e+01
1.326862287521362305e+01,0.000000000000000000e+00,4.199000000000000199e+01
1.426047992706298828e+01,0.000000000000000000e+00,4.215999999999999659e+01
1.526119470596313477e+01,0.000000000000000000e+00,4.202000000000000313e+01
1.625928235054016113e+01,0.000000000000000000e+00,4.215999999999999659e+01
1.726490998268127441e+01,0.000000000000000000e+00,4.202000000000000313e+01
1.825732636451721191e+01,0.000000000000000000e+00,4.214000000000000057e+01
1.925169682502746582e+01,0.000000000000000000e+00,4.199000000000000199e+01
2.025195217132568359e+01,0.000000000000000000e+00,4.203999999999999915e+01
2.124949407577514648e+01,0.000000000000000000e+00,4.202000000000000313e+01
2.224193835258483887e+01,0.000000000000000000e+00,4.207000000000000028e+01
2.324584197998046875e+01,0.000000000000000000e+00,4.199000000000000199e+01
2.424338030815124512e+01,4.000000000000000000e+01,4.209000000000000341e+01
2.524273967742919922e+01,4.000000000000000000e+01,4.209000000000000341e+01
2.623983693122863770e+01,4.000000000000000000e+01,4.214000000000000057e+01
2.724315094947814941e+01,4.000000000000000000e+01,4.221000000000000085e+01
2.823606085777282715e+01,4.000000000000000000e+01,4.235999999999999943e+01
2.923828268051147461e+01,4.000000000000000000e+01,4.247999999999999687e+01
3.023573827743530273e+01,4.000000000000000000e+01,4.275000000000000000e+01
3.128798151016235352e+01,4.000000000000000000e+01,4.296999999999999886e+01
3.230147194862365723e+01,4.000000000000000000e+01,4.332999999999999829e+01
3.330148911476135254e+01,4.000000000000000000e+01,4.347999999999999687e+01
3.430062866210937500e+01,4.000000000000000000e+01,4.392000000000000171e+01
3.529924225807189941e+01,4.000000000000000000e+01,4.425999999999999801e+01
3.643521451950073242e+01,4.000000000000000000e+01,4.479999999999999716e+01
3.743202137947082520e+01,4.000000000000000000e+01,4.495000000000000284e+01
3.843036699295043945e+01,4.000000000000000000e+01,4.539000000000000057e+01
3.942775130271911621e+01,4.000000000000000000e+01,4.578000000000000114e+01
4.042008233070373535e+01,4.000000000000000000e+01,4.624000000000000199e+01
4.142457723617553711e+01,4.000000000000000000e+01,4.643999999999999773e+01
4.242156195640563965e+01,4.000000000000000000e+01,4.688000000000000256e+01
4.342102003097534180e+01,4.000000000000000000e+01,4.718999999999999773e+01
4.441946697235107422e+01,4.000000000000000000e+01,4.756000000000000227e+01
4.541634607315063477e+01,4.000000000000000000e+01,4.785000000000000142e+01
4.641584277153015137e+01,4.000000000000000000e+01,4.834000000000000341e+01
4.740940880775451660e+01,4.000000000000000000e+01,4.865999999999999659e+01
4.841174340248107910e+01,4.000000000000000000e+01,4.910000000000000142e+01
4.941507482528686523e+01,4.000000000000000000e+01,4.949000000000000199e+01
5.041823458671569824e+01,4.000000000000000000e+01,4.982999999999999829e+01
