Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,0.000000000000000000e+00,2.710999999999999943e+01
9.932477474212646484e-01,0.000000000000000000e+00,2.710999999999999943e+01
2.116132259368896484e+00,0.000000000000000000e+00,2.710999999999999943e+01
3.115406274795532227e+00,0.000000000000000000e+00,2.710999999999999943e+01
4.117247343063354492e+00,0.000000000000000000e+00,2.710999999999999943e+01
5.122757911682128906e+00,0.000000000000000000e+00,2.710999999999999943e+01
6.121773481369018555e+00,0.000000000000000000e+00,2.710999999999999943e+01
7.126309394836425781e+00,0.000000000000000000e+00,2.710999999999999943e+01
8.124390125274658203e+00,0.000000000000000000e+00,2.710999999999999943e+01
9.120334863662719727e+00,0.000000000000000000e+00,2.710999999999999943e+01
1.011291027069091797e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.111718082427978516e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.211601948738098145e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.311811828613281250e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.411755371093750000e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.512263369560241699e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.611408090591430664e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.710681700706481934e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.811124181747436523e+01,0.000000000000000000e+00,2.710999999999999943e+01
1.910177946090698242e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.010555744171142578e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.109904170036315918e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.210183286666870117e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.309413671493530273e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.408471345901489258e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.508795571327209473e+01,0.000000000000000000e+00,2.710999999999999943e+01
2.609252786636352539e+01,2.500000000000000000e+01,2.710999999999999943e+01
2.709171652793884277e+01,2.500000000000000000e+01,2.710999999999999943e+01
2.809286952018737793e+01,2.500000000000000000e+01,2.710999999999999943e+01
2.909621596336364746e+01,2.500000000000000000e+01,2.710999999999999943e+01
3.009630990028381348e+01,2.500000000000000000e+01,2.710999999999999943e+01
3.109395074844360352e+01,2.500000000000000000e+01,2.744999999999999929e+01
3.209411096572875977e+01,2.500000000000000000e+01,2.760000000000000142e+01
3.308793973922729492e+01,2.500000000000000000e+01,2.762000000000000099e+01
3.408280348777770996e+01,2.500000000000000000e+01,2.783999999999999986e+01
3.508378624916076660e+01,2.500000000000000000e+01,2.808999999999999986e+01
3.608362412452697754e+01,2.500000000000000000e+01,2.808999999999999986e+01
3.708566474914550781e+01,2.500000000000000000e+01,2.848000000000000043e+01
3.808464765548706055e+01,2.500000000000000000e+01,2.857000000000000028e+01
3.908262372016906738e+01,2.500000000000000000e+01,2.894000000000000128e+01
4.007826209068298340e+01,2.500000000000000000e+01,2.905999999999999872e+01
4.107389593124389648e+01,2.500000000000000000e+01,2.930999999999999872e+01
4.207491135597229004e+01,2.500000000000000000e+01,2.950000000000000000e+01
4.307297182083129883e+01,2.500000000000000000e+01,2.967000000000000171e+01
4.407033228874206543e+01,2.500000000000000000e+01,2.996999999999999886e+01
4.507023024559020996e+01,2.500000000000000000e+01,3.005999999999999872e+01
4.606866931915283203e+01,2.500000000000000000e+01,3.044999999999999929e+01
4.707177710533142090e+01,2.500000000000000000e+01,3.053000000000000114e+01
4.806734633445739746e+01,2.500000000000000000e+01,3.094000000000000128e+01
4.906377744674682617e+01,2.500000000000000000e+01,3.101999999999999957e+01
5.006035470962524414e+01,2.500000000000000000e+01,3.132999999999999829e+01
5.241112327575683594e+01,2.500000000000000000e+01,3.192000000000000171e+01
5.341303467750549316e+01,2.500000000000000000e+01,3.198999999999999844e+01
5.441288518905639648e+01,2.500000000000000000e+01,3.235999999999999943e+01
5.540819954872131348e+01,2.500000000000000000e+01,3.246000000000000085e+01
5.640826678276062012e+01,2.500000000000000000e+01,3.282000000000000028e+01
5.740925812721252441e+01,2.500000000000000000e+01,3.292000000000000171e+01
5.840069007873535156e+01,2.500000000000000000e+01,3.324000000000000199e+01
5.940283823013305664e+01,2.500000000000000000e+01,3.338000000000000256e+01
6.040475368499755859e+01,2.500000000000000000e+01,3.346000000000000085e+01
6.140591478347778320e+01,2.500000000000000000e+01,3.385000000000000142e+01
6.240446686744689941e+01,2.500000000000000000e+01,3.395000000000000284e+01
6.340178322792053223e+01,2.500000000000000000e+01,3.435999999999999943e+01
6.440073680877685547e+01,2.500000000000000000e+01,3.442999999999999972e+01
6.540108823776245117e+01,2.500000000000000000e+01,3.475000000000000000e+01
6.639918589591979980e+01,2.500000000000000000e+01,3.489999999999999858e+01
6.740285944938659668e+01,2.500000000000000000e+01,3.507000000000000028e+01
6.839696979522705078e+01,2.500000000000000000e+01,3.531000000000000227e+01
6.939473390579223633e+01,2.500000000000000000e+01,3.540999999999999659e+01
7.039316391944885254e+01,2.500000000000000000e+01,3.582999999999999829e+01
7.139446854591369629e+01,2.500000000000000000e+01,3.589999999999999858e+01
7.239483499526977539e+01,2.500000000000000000e+01,3.624000000000000199e+01
7.338906836509704590e+01,2.500000000000000000e+01,3.639000000000000057e+01
7.438380765914916992e+01,2.500000000000000000e+01,3.667999999999999972e+01
7.538333725929260254e+01,2.500000000000000000e+01,3.679999999999999716e+01
7.638522386550903320e+01,2.500000000000000000e+01,3.692000000000000171e+01
7.738438606262207031e+01,2.500000000000000000e+01,3.728999999999999915e+01
7.838440299034118652e+01,2.500000000000000000e+01,3.735999999999999943e+01
7.938626813888549805e+01,2.500000000000000000e+01,3.775000000000000000e+01
8.038426351547241211e+01,2.500000000000000000e+01,3.779999999999999716e+01
8.138963294029235840e+01,2.500000000000000000e+01,3.811999999999999744e+01
8.238929533958435059e+01,2.500000000000000000e+01,3.832000000000000028e+01
8.338922262191772461e+01,2.500000000000000000e+01,3.840999999999999659e+01
8.438562750816345215e+01,2.500000000000000000e+01,3.872999999999999687e+01
8.538720059394836426e+01,2.500000000000000000e+01,3.882999999999999829e+01
8.638746309280395508e+01,2.500000000000000000e+01,3.924000000000000199e+01
8.739299702644348145e+01,2.500000000000000000e+01,3.927000000000000313e+01
8.839385986328125000e+01,2.500000000000000000e+01,3.932000000000000028e+01
8.939619898796081543e+01,2.500000000000000000e+01,3.972999999999999687e+01
9.039910674095153809e+01,2.500000000000000000e+01,3.979999999999999716e+01
9.139565396308898926e+01,2.500000000000000000e+01,4.000000000000000000e+01
9.239537572860717773e+01,2.500000000000000000e+01,4.021999999999999886e+01
9.339983129501342773e+01,2.500000000000000000e+01,4.034000000000000341e+01
9.439523839950561523e+01,2.500000000000000000e+01,4.071000000000000085e+01
9.539530253410339355e+01,2.500000000000000000e+01,4.075999999999999801e+01
9.639721012115478516e+01,2.500000000000000000e+01,4.104999999999999716e+01
9.739706277847290039e+01,2.500000000000000000e+01,4.125000000000000000e+01
9.839521336555480957e+01,2.500000000000000000e+01,4.127000000000000313e+01
9.939723038673400879e+01,2.500000000000000000e+01,4.164000000000000057e+01
1.003950102329254150e+02,2.500000000000000000e+01,4.175999999999999801e+01
1.013937778472900391e+02,2.500000000000000000e+01,4.203000000000000114e+01
1.023927764892578125e+02,2.500000000000000000e+01,4.217000000000000171e+01
1.033892121315002441e+02,2.500000000000000000e+01,4.225000000000000000e+01
1.043904266357421875e+02,2.500000000000000000e+01,4.260999999999999943e+01
1.053945906162261963e+02,2.500000000000000000e+01,4.271000000000000085e+01
1.063954074382781982e+02,2.500000000000000000e+01,4.285999999999999943e+01
1.073961746692657471e+02,2.500000000000000000e+01,4.317000000000000171e+01
1.083928380012512207e+02,2.500000000000000000e+01,4.321999999999999886e+01
1.093917703628540039e+02,2.500000000000000000e+01,4.356000000000000227e+01
1.103906729221343994e+02,2.500000000000000000e+01,4.365999999999999659e+01
